"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-01","3.13",",,W",,,"0.00",",,W,2400",,,"61",",,W","42",",,W","   20",",,W","   20",",,W","16.1",",,W","21.9",",,W","    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-02","3.58",",,W",,,"0.00",",,W,2400",,,"63",",,W","34",",,W","  200",",,W","  220",",,W","10.1",",,W","14.1",",,W",,,,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-03","3.13",",,W",,,"0.00",",,W,2400",,,"64",",,W","34",",,W","  260",",,W","  250",",,W","12.1",",,W","13.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-04","4.92",",,W",,,"0.00",",,W,2400",,,"68",",,W","34",",,W","  260",",,W","  260",",,W","18.1",",,W","23.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-05","3.36",",,W",,,"0.00",",,W,2400",,,"67",",,W","33",",,W","  250",",,W","  250",",,W","12.1",",,W","14.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-06","2.24",",,W",,,"0.00",",,W,2400",,,"69",",,W","35",",,W","  150",",,W","  140",",,W","8.1",",,W","11.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-07","2.91",",,W",,,"0.00",",,W,2400",,,"77",",,W","36",",,W","  270",",,W","  280",",,W","12.1",",,W","14.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-08","2.46",",,W",,,"0.00",",,W,2400",,,"73",",,W","38",",,W","  270",",,W","  270",",,W","12.1",",,W","14.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-09","2.91",",,W",,,"0.00",",,W,2400",,,"82",",,W","39",",,W","  240",",,W","  240",",,W","10.1",",,W","12.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-10","5.14",",,W",,,"0.00",",,W,2400",,,"81",",,W","42",",,W","  270",",,W","  260",",,W","16.1",",,W","19.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-11","2.24",",,W",,,"0.00","T,,W,2400",,,"79",",,W","42",",,W","  250",",,W","  240",",,W","13.0",",,W","14.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-12","1.57",",,W",,,"0.00",",,W,2400",,,"84",",,W","42",",,W","  190",",,W","  210",",,W","10.1",",,W","12.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-13","2.68",",,W",,,"0.00",",,W,2400",,,"79",",,W","44",",,W","  250",",,W","  250",",,W","10.1",",,W","12.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-14","3.36",",,W",,,"0.00",",,W,2400",,,"67",",,W","40",",,W","  140",",,W","  140",",,W","8.9",",,W","11.0",",,W","    1",",,W","    1",",,W",,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-15","10.29",",,W",,,"0.03",",,W,2400",,,"63",",,W","47",",,W","  310",",,W","  310",",,W","28.0",",,W","40.9",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-16","5.82",",,W",,,"0.00",",,W,2400",,,"67",",,W","38",",,W","  240",",,W","   10",",,W","14.1",",,W","19.9",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-17","3.58",",,W",,,"0.00",",,W,2400",,,"68",",,W","38",",,W","  260",",,W","  260",",,W","14.1",",,W","17.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-18","4.70",",,W",,,"0.00",",,W,2400",,,"68",",,W","39",",,W","  250",",,W","  250",",,W","16.1",",,W","19.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-19","3.58",",,W",,,"0.00",",,W,2400",,,"64",",,W","38",",,W","  250",",,W","  270",",,W","14.1",",,W","16.1",",,W","    1",",,W",,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-20","5.37",",,W",,,"0.00",",,W,2400",,,"60",",,W","43",",,W","  240",",,W","  220",",,W","12.1",",,W","15.0",",,W","    1",",,W","    1",",,W",,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-21","7.38",",,W",,,"0.00",",,W,2400",,,"63",",,W","42",",,W","  250",",,W","  250",",,W","25.1",",,W","33.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-22","9.17",",,W",,,"0.00","T,,W,2400",,,"61",",,W","44",",,W","  310",",,W","  260",",,W","23.0",",,W","32.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-23","8.95",",,W",,,"0.00","T,,W,2400",,,"59",",,W","37",",,W","  330",",,W","  320",",,W","23.9",",,W","32.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-24","4.92",",,W",,,"0.00",",,W,2400",,,"59",",,W","33",",,W","   40",",,W","   40",",,W","18.1",",,W","23.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-25","3.36",",,W",,,"0.00",",,W,2400",,,"62",",,W","33",",,W","  240",",,W","  240",",,W","13.0",",,W","16.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-26","3.80",",,W",,,"0.00",",,W,2400",,,"67",",,W","34",",,W","  270",",,W","  270",",,W","16.1",",,W","19.9",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-27","2.91",",,W",,,"0.00",",,W,2400",,,"69",",,W","37",",,W","  140",",,W","  130",",,W","10.1",",,W","12.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-02-28","3.58",",,W",,,"0.00",",,W,2400",,,"78",",,W","36",",,W","  130",",,W","  210",",,W","15.0",",,W","18.1",",,W","    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-01","3.80",",,W",,,"0.00",",,W,2400",,,"80",",,W","39",",,W","  240",",,W","  230",",,W","14.1",",,W","18.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-02","3.13",",,W",,,"0.00",",,W,2400",,,"73",",,W","41",",,W","  240",",,W","  250",",,W","14.1",",,W","15.0",",,W","    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-03","5.37",",,W",,,"0.01",",,W,2400",,,"64",",,W","44",",,W","   80",",,W","   90",",,W","18.1",",,W","23.0",",,W",,,,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-04","9.84",",,W",,,"0.00",",,W,2400",,,"68",",,W","46",",,W","  300",",,W","  310",",,W","28.0",",,W","35.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-05","11.86",",,W",,,"0.00","T,,W,2400",,,"62",",,W","44",",,W","  280",",,W","  300",",,W","25.1",",,W","35.1",",,W",,,,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-06","4.92",",,W",,,"0.00",",,W,2400",,,"60",",,W","39",",,W","  340",",,W","  360",",,W","16.1",",,W","19.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-07","4.92",",,W",,,"0.00",",,W,2400",,,"67",",,W","36",",,W","  260",",,W","  260",",,W","16.1",",,W","19.9",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-08","3.80",",,W",,,"0.00",",,W,2400",,,"71",",,W","37",",,W","  260",",,W","  240",",,W","14.1",",,W","18.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-09","4.70",",,W",,,"0.00",",,W,2400",,,"62",",,W","41",",,W","  140",",,W","  140",",,W","12.1",",,W","15.0",",,W","    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-10","4.70",",,W",,,"0.00",",,W,2400",,,"64",",,W","41",",,W","  130",",,W","  130",",,W","14.1",",,W","16.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-11","4.92",",,W",,,"0.00",",,W,2400",,,"72",",,W","38",",,W","  250",",,W","  240",",,W","12.1",",,W","16.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-12","3.36",",,W",,,"0.00",",,W,2400",,,"71",",,W","38",",,W","  260",",,W","  260",",,W","14.1",",,W","16.1",",,W",,,,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-13","6.93",",,W",,,"0.00",",,W,2400",,,"77",",,W","44",",,W","  260",",,W","  260",",,W","25.1",",,W","31.1",",,W",,,,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-14","4.92",",,W",,,"0.00",",,W,2400",,,"70",",,W","45",",,W","  130",",,W",,,"10.1",",,W",,,,,,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-15","5.82",",,W",,,"0.00",",,W,2400",,,"80",",,W","44",",,W","  340",",,W","  270",",,W","14.1",",,W","25.9",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-16","10.29",",,W",,,"0.00",",,W,2400",,,"84",",,W","51",",,W","  240",",,W","  310",",,W","17.0",",,W","31.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-17","5.37",",,W",,,"0.00",",,W,2400",,,"73",",,W","44",",,W","  250",",,W",,,"10.1",",,W",,,"    1",",,W",,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-18","4.47",",,W",,,"0.00",",,W,2400",,,"76",",,W","46",",,W","  260",",,W",,,"10.1",",,W",,,"    1",",,W",,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-19","6.93",",,W",,,"0.00","T,,W,2400",,,"63",",,W","49",",,W","  270",",,W",,,"15.0",",,W",,,"    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-20","10.29",",,W",,,"0.00",",,W,2400",,,"78",",,W","49",",,W","  250",",,W","  260",",,W","17.0",",,W","30.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-21","9.62",",,W",,,"0.00",",,W,2400",,,"77",",,W","56",",,W","  360",",,W","  330",",,W","23.0",",,W","32.0",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-22","4.25",",,W",,,"0.00",",,W,2400",,,"84",",,W","47",",,W","  250",",,W","  260",",,W","15.0",",,W","18.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-23","3.58",",,W",,,"0.00",",,W,2400",,,"76",",,W","50",",,W","  150",",,W","  160",",,W","10.1",",,W","13.0",",,W","    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-24","3.36",",,W",,,"0.00",",,W,2400",,,"72",",,W","48",",,W","  250",",,W","  250",",,W","8.9",",,W","12.1",",,W","    1",",,W","    1",",,W",,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-25","4.47",",,W",,,"0.00",",,W,2400",,,"68",",,W","51",",,W","  240",",,W","  250",",,W","8.9",",,W","14.1",",,W","    1",",,W","    1",",,W",,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-26","5.14",",,W",,,"0.00",",,W,2400",,,"60",",,W","51",",,W","  210",",,W",,,"8.9",",,W",,,"    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-27","10.51",",,W",,,"0.05",",,W,2400",,,"61",",,W","53",",,W","  100",",,W","  120",",,W","15.0",",,W","23.0",",,W","    1",",,W",,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-28","9.17",",,W",,,"1.27",",,W,2400",,,"59",",,W","50",",,W","  100",",,W","  110",",,W","21.9",",,W","32.0",",,W","    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-29","8.50",",,W",,,"0.00",",,W,2400",,,"70",",,W","47",",,W","  250",",,W","  250",",,W","21.9",",,W","32.0",",,W","    1",",,W",,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-30","5.14",",,W",,,"0.00",",,W,2400",,,"65",",,W","44",",,W","   70",",,W","   70",",,W","16.1",",,W","18.1",",,W","    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-03-31","3.36",",,W",,,"0.00",",,W,2400",,,"64",",,W","45",",,W","  230",",,W","  240",",,W","12.1",",,W","14.1",",,W","    1",",,W",,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-04-01","4.70",",,W",,,"0.00",",,W,2400",,,"65",",,W","44",",,W","  260",",,W","  240",",,W","13.0",",,W","15.0",",,W","    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-04-02","5.37",",,W",,,"0.00",",,W,2400",,,"62",",,W","50",",,W","  150",",,W","  130",",,W","12.1",",,W","14.1",",,W","    1",",,W",,,,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-04-03","4.92",",,W",,,"0.00",",,W,2400",,,"65",",,W","46",",,W","  270",",,W","  250",",,W","17.0",",,W","21.0",",,W","    1",",,W",,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-04-04","5.82",",,W",,,"0.00",",,W,2400",,,"74",",,W","46",",,W","  330",",,W","  320",",,W","18.1",",,W","21.9",",,W","    1",",,W","    1",",,W",,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-04-05","11.41",",,W",,,"0.00",",,W,2400",,,"90",",,W","58",",,W","  300",",,W","  310",",,W","23.9",",,W","31.1",",,W",,,,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-04-06","4.70",",,W",,,"0.00",",,W,2400",,,"77",",,W","53",",,W","  150",",,W","  140",",,W","12.1",",,W","13.0",",,W","    1",",,W","    1",",,W",,,"    1",",,W"
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-04-07","4.92",",,W",,,"0.00",",,W,2400",,,"92",",,W","53",",,W","  260",",,W","  260",",,W","14.1",",,W","16.1",",,W","    1",",,W",,,,,,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","2022-04-08","4.47",",,W",,,"0.00",",,W,2400",,,"90",",,W","52",",,W","  250",",,W","  250",",,W","12.1",",,W","13.0",",,W","    1",",,W",,,,,"    1",",,W"
